country,value,year
Belgium,3,2016
Brazil,31,2016
Canada,34,2016
Chile,10,2016
China,251,2016
Colombia,3,2016
Cyprus,5,2016
Czech Republic,5,2016
Denmark,6,2016
Egypt,6,2016
Eswatini,1,2016
Finland,6,2016
France,39,2016
Georgia,1,2016
Germany,119,2016
Greece,2,2016
Guernsey,1,2016
Hong Kong,63,2016
Iceland,1,2016
India,85,2016
Indonesia,20,2016
Ireland,6,2016
Israel,17,2016
Italy,43,2016
Japan,27,2016
Kazakhstan,5,2016
Lebanon,7,2016
Liechtenstein,1,2016
Malaysia,10,2016
Mexico,14,2016
Monaco,4,2016
Morocco,2,2016
Nepal,1,2016
Netherlands,9,2016
New Zealand,2,2016
Nigeria,5,2016
Norway,13,2016
Oman,1,2016
Peru,3,2016
Philippines,11,2016
Poland,3,2016
Portugal,3,2016
Qatar,1,2016
Romania,1,2016
Russia,78,2016
Saudi Arabia,6,2016
Singapore,17,2016
South Africa,6,2016
South Korea,31,2016
Spain,21,2016
Sweden,26,2016
Switzerland,33,2016
Taiwan,25,2016
Tanzania,1,2016
Thailand,16,2016
Turkey,30,2016
Ukraine,5,2016
United Arab Emirates,5,2016
United Kingdom,50,2016
United States,540,2016
Venezuela,3,2016
Vietnam,1,2016
Algeria,1,2017
Angola,1,2017
Argentina,7,2017
Australia,33,2017
Austria,8,2017
Belgium,2,2017
Brazil,43,2017
Canada,39,2017
Chile,12,2017
China,319,2017
Colombia,3,2017
Cyprus,6,2017
Czech Republic,6,2017
Denmark,6,2017
Egypt,7,2017
Eswatini,1,2017
Finland,7,2017
France,38,2017
Georgia,1,2017
Germany,114,2017
Greece,3,2017
Guernsey,1,2017
Hong Kong,67,2017
Iceland,1,2017
India,101,2017
Indonesia,20,2017
Ireland,8,2017
Israel,18,2017
Italy,42,2017
Japan,33,2017
Kazakhstan,5,2017
Kuwait,4,2017
Lebanon,4,2017
Liechtenstein,1,2017
Macao,1,2017
Malaysia,12,2017
Mexico,15,2017
Monaco,4,2017
Morocco,3,2017
Nepal,1,2017
Netherlands,10,2017
New Zealand,2,2017
Nigeria,3,2017
Norway,14,2017
Oman,3,2017
Peru,5,2017
Philippines,14,2017
Poland,4,2017
Portugal,4,2017
Qatar,2,2017
Romania,1,2017
Russia,96,2017
Saudi Arabia,10,2017
Singapore,21,2017
Slovakia,1,2017
South Africa,8,2017
South Korea,38,2017
Spain,25,2017
St. Kitts and Nevis,2,2017
Sweden,31,2017
Switzerland,36,2017
Taiwan,31,2017
Tanzania,1,2017
Thailand,20,2017
Turkey,29,2017
Ukraine,6,2017
United Arab Emirates,5,2017
United Kingdom,54,2017
United States,565,2017
Venezuela,2,2017
Vietnam,2,2017
Algeria,1,2018
Angola,1,2018
Argentina,9,2018
Australia,43,2018
Austria,8,2018
Belgium,2,2018
Brazil,42,2018
Canada,46,2018
Chile,11,2018
China,373,2018
Colombia,3,2018
Cyprus,7,2018
Czech Republic,6,2018
Denmark,10,2018
Egypt,6,2018
Eswatini,1,2018
Finland,6,2018
France,40,2018
Georgia,1,2018
Germany,123,2018
Greece,4,2018
Guernsey,1,2018
Hong Kong,67,2018
Hungary,1,2018
Iceland,1,2018
India,119,2018
Indonesia,20,2018
Ireland,9,2018
Israel,20,2018
Italy,43,2018
Japan,35,2018
Kazakhstan,5,2018
Kuwait,4,2018
Lebanon,7,2018
Liechtenstein,1,2018
Macao,1,2018
Malaysia,14,2018
Mexico,16,2018
Monaco,4,2018
Morocco,2,2018
Nepal,1,2018
Netherlands,9,2018
New Zealand,2,2018
Nigeria,3,2018
Norway,15,2018
Oman,2,2018
Peru,6,2018
Philippines,12,2018
Poland,6,2018
Portugal,1,2018
Qatar,2,2018
Romania,1,2018
Russia,101,2018
Singapore,22,2018
Slovakia,1,2018
South Africa,5,2018
South Korea,44,2018
Spain,29,2018
St. Kitts and Nevis,3,2018
Sweden,32,2018
Switzerland,36,2018
Taiwan,35,2018
Tanzania,1,2018
Thailand,30,2018
Turkey,36,2018
Ukraine,7,2018
United Arab Emirates,7,2018
United Kingdom,54,2018
United States,585,2018
Venezuela,2,2018
Vietnam,4,2018
Zimbabwe,1,2018
Algeria,1,2019
Angola,1,2019
Argentina,9,2019
Australia,43,2019
Austria,8,2019
Belgium,2,2019
Brazil,42,2019
Canada,46,2019
Chile,11,2019
China,373,2019
Colombia,3,2019
Cyprus,7,2019
Czech Republic,6,2019
Denmark,10,2019
Egypt,6,2019
Eswatini,1,2019
Finland,6,2019
France,40,2019
Georgia,1,2019
Germany,123,2019
Greece,4,2019
Guernsey,1,2019
Hong Kong,67,2019
Hungary,1,2019
Iceland,1,2019
India,119,2019
Indonesia,20,2019
Ireland,9,2019
Israel,20,2019
Italy,43,2019
Japan,35,2019
Kazakhstan,5,2019
Kuwait,4,2019
Lebanon,7,2019
Liechtenstein,1,2019
Macao,1,2019
Malaysia,14,2019
Mexico,16,2019
Monaco,4,2019
Morocco,2,2019
Nepal,1,2019
Netherlands,9,2019
New Zealand,2,2019
Nigeria,3,2019
Norway,15,2019
Oman,2,2019
Peru,6,2019
Philippines,12,2019
Poland,6,2019
Portugal,1,2019
Qatar,2,2019
Romania,1,2019
Russia,101,2019
Singapore,22,2019
Slovakia,1,2019
South Africa,5,2019
South Korea,44,2019
Spain,29,2019
St. Kitts and Nevis,3,2019
Sweden,32,2019
Switzerland,36,2019
Taiwan,35,2019
Tanzania,1,2019
Thailand,30,2019
Turkey,36,2019
Ukraine,7,2019
United Arab Emirates,7,2019
United Kingdom,54,2019
United States,585,2019
Venezuela,2,2019
Vietnam,4,2019
Zimbabwe,1,2019
Algeria,1,2020
Angola,1,2020
Argentina,4,2020
Australia,39,2020
Austria,9,2020
Belgium,2,2020
Brazil,47,2020
Canada,45,2020
Chile,8,2020
China,399,2020
Colombia,3,2020
Cyprus,3,2020
Czechia,8,2020
Denmark,8,2020
Egypt,6,2020
Eswatini,1,2020
Finland,6,2020
France,44,2020
Georgia,1,2020
Germany,114,2020
Greece,3,2020
Guernsey,1,2020
Hong Kong,64,2020
Hungary,2,2020
Iceland,1,2020
India,110,2020
Indonesia,15,2020
Ireland,9,2020
Israel,21,2020
Italy,39,2020
Japan,33,2020
Kazakhstan,4,2020
Kuwait,1,2020
Lebanon,6,2020
Liechtenstein,1,2020
Macao,1,2020
Malaysia,13,2020
Mexico,14,2020
Monaco,4,2020
Morocco,2,2020
Nepal,1,2020
Netherlands,13,2020
New Zealand,2,2020
Nigeria,3,2020
Norway,12,2020
Oman,1,2020
Peru,4,2020
Philippines,15,2020
Poland,6,2020
Portugal,1,2020
Qatar,1,2020
Romania,2,2020
Russia,100,2020
Singapore,26,2020
Slovakia,2,2020
South Africa,4,2020
South Korea,31,2020
Spain,25,2020
St. Kitts and Nevis,2,2020
Sweden,32,2020
Switzerland,36,2020
Taiwan,40,2020
Tanzania,1,2020
Thailand,30,2020
Turkey,24,2020
Ukraine,7,2020
United Arab Emirates,4,2020
United Kingdom,51,2020
United States,637,2020
Venezuela,1,2020
Vietnam,6,2020
Zimbabwe,1,2020
Algeria,1,2021
Argentina,5,2021
Australia,44,2021
Austria,12,2021
Belgium,3,2021
Brazil,65,2021
Canada,64,2021
Chile,9,2021
China,626,2021
Colombia,5,2021
Cyprus,5,2021
Czechia,9,2021
Denmark,10,2021
Egypt,6,2021
Eswatini,1,2021
Finland,7,2021
France,42,2021
Georgia,2,2021
Germany,136,2021
Greece,4,2021
Guernsey,1,2021
Hong Kong,71,2021
Hungary,2,2021
Iceland,2,2021
India,140,2021
Indonesia,21,2021
Ireland,9,2021
Israel,25,2021
Italy,51,2021
Japan,49,2021
Kazakhstan,5,2021
Lebanon,6,2021
Liechtenstein,1,2021
Macao,1,2021
Malaysia,17,2021
Mexico,13,2021
Monaco,3,2021
Morocco,2,2021
Nepal,1,2021
Netherlands,12,2021
New Zealand,2,2021
Nigeria,3,2021
Norway,12,2021
Oman,1,2021
Peru,6,2021
Philippines,17,2021
Poland,8,2021
Portugal,2,2021
Qatar,2,2021
Romania,2,2021
Russia,118,2021
Singapore,27,2021
Slovakia,2,2021
South Africa,5,2021
South Korea,43,2021
Spain,30,2021
St. Kitts and Nevis,1,2021
Sweden,41,2021
Switzerland,40,2021
Taiwan,47,2021
Tanzania,1,2021
Thailand,31,2021
Turkey,27,2021
Ukraine,7,2021
United Arab Emirates,4,2021
United Kingdom,56,2021
United States,724,2021
Venezuela,1,2021
Vietnam,6,2021
Zimbabwe,1,2021
Algeria,1,2022
Argentina,6,2022
Australia,46,2022
Austria,11,2022
Barbados,1,2022
Belgium,3,2022
Belize,1,2022
Brazil,62,2022
Bulgaria,2,2022
Canada,65,2022
Chile,7,2022
China,539,2022
Colombia,4,2022
Cyprus,6,2022
Czechia,9,2022
Denmark,9,2022
Egypt,6,2022
Estonia,1,2022
Eswatini,1,2022
Finland,7,2022
France,43,2022
Georgia,2,2022
Germany,134,2022
Greece,4,2022
Guernsey,1,2022
Hong Kong,67,2022
Hungary,2,2022
Iceland,2,2022
India,166,2022
Indonesia,30,2022
Ireland,9,2022
Israel,30,2022
Italy,52,2022
Japan,40,2022
Kazakhstan,5,2022
Lebanon,6,2022
Liechtenstein,1,2022
Macao,1,2022
Malaysia,17,2022
Mexico,15,2022
Monaco,4,2022
Morocco,2,2022
Nepal,1,2022
Netherlands,11,2022
New Zealand,3,2022
Nigeria,3,2022
Norway,13,2022
Oman,1,2022
Peru,3,2022
Philippines,17,2022
Poland,7,2022
Portugal,1,2022
Qatar,2,2022
Romania,6,2022
Russia,81,2022
Singapore,26,2022
Slovakia,2,2022
South Africa,5,2022
South Korea,41,2022
Spain,27,2022
St. Kitts and Nevis,1,2022
Sweden,45,2022
Switzerland,41,2022
Taiwan,51,2022
Tanzania,1,2022
Thailand,28,2022
Turkey,24,2022
Ukraine,7,2022
United Arab Emirates,4,2022
United Kingdom,50,2022
United States,735,2022
Uruguay,2,2022
Venezuela,1,2022
Vietnam,7,2022
Zimbabwe,1,2022
